,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch
55,680,264,4,5,46,1053,1,3,3,1,0,0,22,1,2,0,0,4,3,75,22,1,0,6,6,2,0,1,3,1,4,3,1,2,86,5,221,0,364,1,2,1,3,319,184,0,0,0,2,0,4,1,2,3,6,1,5,61,1,2,225,3,3,2,0,0,46,0,0
56,908,823,0,5,86,1495,1,3,3,1,0,0,19,2,2,0,2,7,4,109,56,3,0,12,13,1,276,2,2,2,4,3,3,1,0,1,0,1049,926,1,3,1,3,954,0,0,0,0,2,0,3,1,3,7,6,1,1,95,3,3,516,3,3,2,255,35,0,0,0
57,353,322,0,5,56,1064,1,3,3,1,4,0,15,2,2,0,2,4,6,63,10,3,0,13,14,1,55,1,2,1,3,3,1,5,426,1,0,517,565,1,4,1,3,534,0,0,1,0,1,0,3,1,2,4,6,0,1,49,1,1,61,3,3,2,0,0,0,0,0
58,1096,782,5,5,72,1012,1,3,3,1,4,0,18,2,2,0,5,6,4,96,44,3,0,13,7,1,372,2,2,2,4,3,4,6,786,1,0,96,612,1,4,1,3,594,470,0,1,0,2,1,3,1,3,7,6,1,1,82,2,3,544,3,3,2,201,136,122,0,0
59,769,607,5,5,126,1255,1,3,3,1,4,0,18,2,2,0,5,6,7,94,58,1,0,12,13,1,145,2,3,2,4,3,1,6,402,5,76,111,342,1,4,1,3,295,284,0,0,1,2,1,3,1,3,5,6,1,1,80,1,2,255,3,3,2,345,50,0,0,0
60,19,30,1,6,37,592,1,3,0,1,4,0,11,2,2,0,2,3,3,31,0,1,0,13,14,2,0,1,2,0,2,3,1,1,0,1,0,362,34,1,2,0,0,61,0,0,0,0,1,0,2,1,2,2,5,0,6,100,0,0,0,0,0,0,0,0,57,0,0
61,667,331,4,5,46,1006,1,3,3,1,4,0,7,2,2,0,0,5,5,57,4,1,0,13,14,2,0,1,2,1,3,3,1,4,315,1,0,418,352,1,4,1,3,306,182,0,0,0,1,1,3,1,3,4,6,0,1,43,1,1,99,3,3,2,291,0,0,0,0
62,749,572,11,2,126,103,1,2,3,1,4,0,24,2,2,4,2,5,4,111,58,1,0,12,13,3,216,2,2,2,4,3,1,1,0,1,0,1033,869,1,4,1,3,880,0,0,0,0,2,1,2,1,3,4,6,1,1,97,3,2,288,3,3,2,0,206,0,0,0
63,1173,818,5,5,84,1430,1,3,3,1,4,0,19,2,2,0,5,8,4,109,56,3,0,12,13,1,210,2,2,2,5,3,4,6,871,1,0,360,908,1,4,1,3,928,374,0,1,0,2,1,4,1,4,7,6,1,3,95,3,3,489,3,3,2,165,158,0,0,0
64,93,203,0,5,51,1034,1,3,3,1,0,0,5,2,2,0,2,4,5,79,26,1,0,6,6,2,0,1,2,1,3,4,3,2,80,5,210,0,277,1,2,1,3,222,0,0,1,0,1,0,3,1,2,3,6,0,1,65,1,1,79,3,3,2,290,0,0,0,0
65,1110,862,0,5,82,1355,1,3,1,1,4,1,19,2,2,0,2,9,4,106,53,3,0,8,8,3,381,3,2,2,5,3,4,6,921,1,0,222,975,1,4,1,3,1009,0,0,2,0,1,1,1,1,4,5,6,2,1,92,3,3,452,3,3,2,109,55,0,0,75
66,296,348,0,5,126,1293,1,2,3,1,4,0,5,2,2,0,2,4,5,81,28,1,0,6,6,1,134,1,2,1,4,3,2,5,548,1,0,47,257,1,4,1,3,474,0,0,1,0,1,0,3,1,2,3,6,0,1,67,1,2,259,3,3,2,164,0,152,0,0
67,412,652,11,5,24,247,1,3,3,1,4,0,19,2,2,4,2,7,4,109,56,3,0,8,8,1,130,2,2,2,4,3,1,6,607,1,0,386,619,1,4,1,3,593,0,0,1,0,2,0,2,1,3,4,6,1,1,95,3,2,278,3,3,2,146,28,0,0,0
68,1101,393,4,5,26,823,1,3,3,1,4,0,21,1,2,0,0,5,6,25,40,1,0,13,15,2,0,1,2,2,3,3,1,1,0,1,0,661,207,1,4,1,3,862,263,0,0,0,2,0,4,1,3,8,4,1,5,58,1,1,100,3,3,2,218,0,16,0,20
69,1017,713,7,5,60,829,1,3,3,1,4,0,18,2,2,0,4,7,4,100,47,3,0,6,6,1,413,2,2,2,4,3,1,1,0,1,0,864,507,1,4,1,3,482,440,0,0,0,2,1,3,1,3,7,6,1,1,86,3,2,248,3,3,2,0,117,0,0,0
70,455,449,8,5,43,1420,1,2,3,1,4,0,8,2,2,0,7,6,4,107,54,1,0,12,13,2,0,2,2,2,4,3,1,6,184,1,0,31,22,1,4,1,3,104,178,0,1,0,2,1,3,1,3,5,6,1,3,93,3,2,146,3,3,2,62,0,0,0,0
71,421,536,0,2,51,690,1,3,3,1,4,0,24,2,2,0,2,6,4,109,57,1,0,12,13,2,0,2,2,2,4,3,1,1,0,1,0,923,628,1,4,1,3,601,0,0,0,0,2,0,3,1,3,4,6,0,1,96,2,2,300,3,3,2,0,181,0,0,0
72,635,551,0,5,54,954,1,2,3,1,4,0,5,2,2,0,2,6,4,102,49,1,0,12,13,1,136,2,2,2,4,3,3,5,782,1,0,356,800,1,4,1,3,787,0,0,0,0,2,0,3,1,3,4,6,0,1,88,2,2,207,3,3,2,113,20,0,0,0
73,689,820,11,6,40,204,1,2,1,1,4,1,6,2,2,4,2,7,4,111,58,3,0,5,5,3,138,3,2,2,5,3,4,6,885,1,0,78,807,1,4,1,3,830,0,0,1,1,2,0,2,1,3,3,6,1,1,97,3,2,217,3,3,2,117,43,0,8,0
74,937,695,5,5,121,1694,1,0,1,1,1,0,8,2,2,0,5,6,4,109,56,1,0,12,13,2,0,2,2,2,5,4,1,1,0,1,0,706,259,1,4,1,3,215,489,0,0,0,2,1,3,1,3,7,6,1,3,95,2,2,162,3,3,2,0,88,0,0,0
75,487,344,5,5,49,581,1,2,3,1,4,0,8,2,2,0,5,5,4,109,57,1,0,12,13,2,0,1,2,2,4,3,1,1,0,1,0,517,90,1,4,1,3,39,297,0,0,0,2,1,3,1,3,4,6,1,3,96,3,2,171,3,3,2,0,27,0,0,0
76,525,711,0,5,25,1545,1,2,3,1,1,0,24,6,2,0,2,7,4,110,57,1,0,12,13,3,51,2,2,2,4,3,4,6,651,1,0,469,733,1,4,1,3,693,0,0,1,0,2,0,3,1,3,4,6,0,1,96,1,3,432,3,3,2,122,141,0,0,0
77,724,284,7,6,41,660,1,2,2,1,0,0,20,2,2,0,4,6,5,22,0,1,0,8,8,2,0,1,2,0,3,3,1,1,0,1,0,670,216,1,4,1,3,157,356,0,0,0,1,0,3,1,2,5,6,1,5,7,1,1,25,3,3,2,0,0,160,0,0
78,231,67,13,6,0,13,1,3,3,1,4,0,2,2,2,3,5,5,4,74,21,1,0,6,7,1,281,1,2,1,3,3,1,1,0,1,0,442,55,1,2,1,3,17,138,0,0,0,1,1,3,1,2,4,6,0,5,60,1,1,46,3,3,2,0,0,0,0,0
79,168,25,1,4,46,859,1,3,3,1,0,0,23,1,2,0,2,4,4,26,0,1,0,13,14,2,0,1,1,0,3,3,1,1,0,1,0,671,217,1,2,0,0,329,0,0,0,0,1,0,2,1,2,3,6,0,5,10,1,1,168,3,3,2,78,0,38,0,0
80,323,305,8,5,112,1113,1,3,3,1,0,0,14,2,2,0,7,5,5,78,25,1,0,9,9,1,199,1,2,1,3,3,3,6,383,1,0,466,470,1,2,1,3,504,0,0,1,0,2,0,3,1,2,4,6,0,1,64,1,2,259,3,3,2,0,0,0,0,0
81,359,352,0,5,56,478,1,3,3,1,4,0,15,2,2,0,2,4,5,62,9,1,0,3,14,2,0,1,2,2,3,3,1,4,304,3,161,234,572,1,3,1,0,540,0,0,1,0,1,1,3,1,3,4,6,0,1,48,2,1,82,3,3,2,0,196,0,0,0
82,264,173,1,5,36,1064,1,3,3,1,4,0,20,2,2,0,2,4,5,26,0,3,0,11,12,2,0,1,2,0,3,3,1,3,580,1,0,241,464,1,4,1,3,435,0,0,1,0,1,0,2,1,2,3,6,1,5,59,1,2,409,3,3,2,181,0,0,0,0
83,71,238,9,5,126,351,1,2,3,1,1,0,22,2,2,0,6,4,4,85,32,3,0,13,14,2,0,1,2,1,4,3,3,6,469,1,0,125,252,1,2,1,3,190,0,0,1,0,1,0,2,1,2,3,6,0,5,72,1,2,301,3,3,2,77,0,0,0,0
84,307,452,0,5,64,1488,1,3,3,1,4,0,22,3,2,0,2,5,7,59,6,1,0,6,6,2,0,1,2,1,3,4,4,6,543,1,0,159,352,1,2,1,0,486,0,0,1,0,1,0,1,1,2,2,6,1,1,45,1,2,341,3,3,2,63,77,133,0,0
85,487,228,4,6,26,233,1,3,3,1,4,0,3,2,2,0,0,5,5,44,0,1,0,8,8,2,0,1,1,1,3,3,1,1,0,1,0,641,187,1,4,1,1,165,151,0,0,0,1,0,4,1,2,4,6,1,5,29,1,1,56,3,3,2,22,0,0,0,0
86,189,361,8,5,126,340,1,2,3,1,1,0,22,2,2,0,7,5,5,81,28,1,0,6,6,1,149,1,2,1,3,4,4,6,561,1,0,118,330,1,1,1,3,354,0,0,1,0,1,0,3,1,2,4,6,1,5,68,1,2,337,3,3,2,88,0,0,0,59
87,457,375,4,5,36,660,1,3,2,1,4,0,3,2,2,0,0,5,6,26,0,1,0,13,15,2,0,1,3,2,3,3,1,1,0,1,0,631,179,1,4,1,3,108,174,0,0,0,1,0,3,1,3,5,6,0,5,66,1,2,301,3,3,1,0,44,80,0,0
88,394,104,1,6,36,300,1,3,3,1,2,0,3,1,2,0,2,4,4,30,0,1,0,13,14,2,0,1,2,2,3,3,2,2,251,1,0,611,483,1,2,1,3,577,0,0,0,0,1,0,2,1,1,3,5,0,5,54,1,2,179,3,3,2,0,0,0,0,0
89,670,474,5,5,50,1468,1,2,3,1,4,0,8,2,2,0,5,4,4,100,48,1,0,12,13,2,0,1,2,2,4,3,1,6,558,1,0,95,302,1,3,1,3,251,229,0,0,0,2,1,3,1,2,4,6,1,1,86,3,2,217,3,3,2,165,25,0,0,0
90,773,587,5,2,60,943,1,3,3,1,4,0,24,2,2,0,5,6,5,110,57,1,0,12,13,2,0,2,2,2,4,3,1,1,0,1,0,711,263,1,4,1,3,203,366,0,0,0,3,0,3,1,3,5,6,0,1,96,3,2,303,3,3,2,100,93,0,0,0
91,122,142,0,5,44,960,1,3,3,1,2,0,15,2,2,0,2,3,5,72,19,1,0,6,6,1,45,1,2,1,4,3,2,3,132,1,0,570,308,1,2,1,3,258,0,0,0,0,1,0,2,1,2,2,6,0,1,58,1,1,63,3,3,2,4,0,0,0,0
